file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
test_213901.json,2,0.947695,307,52,476,52,476,196,307,196
test_211731.json,2,0.947145,306,89,514,89,514,271,306,271
test_203671.json,2,0.946765,260,218,435,218,435,349,260,349
test_220623.json,2,0.946716,69,293,232,293,232,464,69,464
test_208833.json,2,0.946292,285,89,498,89,498,285,285,285
test_216286.json,2,0.945529,349,135,542,135,542,327,349,327
test_200510.json,2,0.944902,313,107,535,107,535,320,313,320
test_204526.json,2,0.944545,85,318,268,318,268,477,85,477
test_215620.json,2,0.943297,118,299,256,299,256,441,118,441
test_217306.json,2,0.94286,265,144,473,144,473,320,265,320
test_211463.json,2,0.942849,292,178,455,178,455,323,292,323
test_215879.json,2,0.942767,265,346,395,346,395,500,265,500
test_216940.json,2,0.942765,129,219,271,219,271,350,129,350
test_216027.json,2,0.942689,71,279,252,279,252,444,71,444
test_200069.json,2,0.942584,280,109,494,109,494,291,280,291
test_201354.json,2,0.942567,300,80,483,80,483,275,300,275
test_202424.json,2,0.941993,94,310,249,310,249,466,94,466
test_219065.json,2,0.941888,299,173,490,173,490,329,299,329
test_208576.json,2,0.941888,263,161,445,161,445,312,263,312
test_216677.json,2,0.941769,185,273,318,273,318,385,185,385
test_211027.json,2,0.941714,58,283,247,283,247,454,58,454
test_204428.json,2,0.941469,273,203,405,203,405,307,273,307
test_201919.json,2,0.941388,280,89,493,89,493,274,280,274
test_214643.json,2,0.941033,325,72,540,72,540,288,325,288
test_214284.json,2,0.940936,79,201,238,201,238,353,79,353
test_200535.json,2,0.940812,231,38,418,38,418,175,231,175
test_210531.json,2,0.940607,325,103,540,103,540,306,325,306
test_206480.json,2,0.940421,219,72,368,72,368,202,219,202
test_215248.json,2,0.940416,331,183,502,183,502,324,331,324
test_204057.json,2,0.940208,77,346,254,346,254,496,77,496
test_204007.json,2,0.940206,76,49,286,49,286,279,76,279
test_211941.json,2,0.939852,371,107,544,107,544,273,371,273
test_216218.json,2,0.939818,339,157,532,157,532,328,339,328
test_216136.json,2,0.939625,280,106,434,106,434,259,280,259
test_210679.json,2,0.939606,135,252,280,252,280,382,135,382
test_214148.json,2,0.939545,319,41,522,41,522,229,319,229
test_214082.json,2,0.939531,99,251,247,251,247,396,99,396
test_202506.json,2,0.938942,311,56,481,56,481,206,311,206
test_218049.json,2,0.938939,78,286,220,286,220,436,78,436
